Btl_Cnt,Depthm,T_degC,Salnty,O2ml_L,STheta
193279,150,9.85,33.441,4.07,25.763
466164,50,12.34,33.49,,25.354
419697,125,9.47,33.78,,26.09
138050,10,18.04,33.48,5.63,24.1
30570,20,14.63,33.33,5.35,24.766
660902,150,9.02,33.679,3.38,26.083
111016,300,8.24,34.25,1.19,26.654
821481,271,8.5,34.253,1.02,26.616
791429,119,9.35,34.002,2.38,26.283
164334,73,11.6,33.94,,25.843
246105,336,9.53,34.6,,26.725
409170,65,16.33,33.546,5.86,24.557
218094,200,7.66,34.211,1.39,26.707
152709,300,7.7,34.33,0.84,26.796
305161,300,7.05,34.085,1.64,26.695
61482,153,8.38,33.91,2.69,26.364
882309,200,9.109,33.9753,2.595,26.30565
851318,200,8.7,34.1191,1.774,26.48245
31503,800,4.82,,0.29,
118729,500,5.39,,0.5,
215521,215,10.24,34.46,1.28,26.494
184481,400,7.13,34.322,,26.872
718164,1,18.82,33.358,5.54,23.813
36428,200,8.93,33.84,2.73,26.225
107981,73,16.82,33.74,5.42,24.593
350963,1600,2.79,34.598,1.22,27.593
420924,53,,,3.29,
460962,250,9.85,33.96,,26.17
442458,758,5.06,34.455,0.3,27.244
509978,31,15.11,33.569,,24.847
403291,41,15.82,33.233,5.85,24.432
787158,20,13.4,33.26,6.1,24.967
374967,39,15.8,33.661,5.58,24.765
406396,400,7.32,34.298,0.69,26.827
553550,197,9.05,33.963,2.78,26.302
45209,100,9.46,32.819,5.43,25.34
411477,30,11.71,33.92,,25.806
293796,31,19.04,33.72,5.47,24.036
584651,275,7.81,34.048,2.48,26.558
614582,22,11.07,33.003,,25.208
285007,2562,1.82,34.63,2.3,27.703
262193,30,14.95,33.476,5.33,24.81
567363,20,16.16,33.458,5.82,24.527
270023,255,7.95,34.05,2.06,26.539
89050,75,12.53,,4.5,
821290,50,13.08,33.135,6.02,24.934
112983,213,10.52,34.54,0.39,26.508
374951,171,9.59,33.99,2.51,26.235
830950,10,15.65,33.602,5.84,24.752
103393,700,5.42,,0.22,
161607,75,12.36,33.346,,25.239
698237,500,6.8,34.308,0.43,26.908
839090,441,6.608,34.3089,0.338,26.93849
76675,100,12.78,,3.88,
675784,328,6.71,34.051,1.81,26.715
298710,276,7.42,34.15,1.39,26.695
156724,209,11.1,34.46,,26.342
518772,163,12.3,34.275,1.65,25.973
527119,74,14.29,33.147,6.01,24.698
487059,150,8.91,33.93,,26.297
441841,125,9.94,33.99,,26.176
256510,548,6.04,34.31,0.42,27.009
453006,75,11.63,33.409,5.19,25.425
454531,649,5.28,34.354,0.27,27.137
454934,50,13.77,33.68,,25.217
4337,95,13.63,33.58,5.69,25.169
220520,1000,3.82,34.498,0.65,27.413
187023,121,10.13,33.78,,25.98
819038,87,13.96,33.027,5.78,24.674
1694,149,10.51,33.39,,25.611
672502,20,18.75,33.155,5.45,23.676
150315,900,4.32,34.536,0.51,27.391
85728,300,,,,
517282,492,5.66,34.239,0.51,26.999
71841,0,15.91,,4.81,
394644,75,15.35,,,
